cdr_id,type,party_a,party_b_or_apn,timestamp,duration,volume_MB,cost
2174813,voice,+20108049071,+20103910954,2025-05-03 22:36:18,558,,27.9
7681830,sms,+20102865842,+20124280487,2025-05-21 04:14:47,,,0.38
8640777,data,+20105459727,apn5.internet,2025-05-02 14:59:01,,2995,59.9
5537136,sms,+20127331797,+20116828730,2025-05-12 11:40:04,,,0.39
1958423,voice,+20113153818,+20125169999,2025-05-11 23:17:47,496,,24.8
6130301,voice,+20111267078,+20112167692,2025-05-07 00:31:03,286,,14.3
2877867,voice,+20113981856,+20106073980,2025-05-05 09:22:26,86,,4.3
5010577,sms,+20124790989,+20107207855,2025-05-14 06:17:03,,,0.12
6599884,voice,+20103755113,+20117688614,2025-05-12 12:50:47,584,,29.2
6581105,data,+20126926879,apn3.internet,2025-05-10 17:41:56,,231,4.62
6832994,voice,+20114328793,+20124935131,2025-05-27 16:07:50,594,,29.7
6919705,data,+20112047876,apn1.internet,2025-05-12 19:15:11,,303,6.06
6988469,voice,+20106703416,+20102287537,2025-05-15 22:38:16,218,,10.9
7776806,data,+20105811523,apn1.internet,2025-05-10 17:16:14,,1241,24.82
4690086,sms,+20107681489,+20126270860,2025-05-05 08:10:57,,,0.5
3689356,sms,+20102503105,+20129079941,2025-05-29 22:22:29,,,0.45
3787202,data,+20112945246,apn5.internet,2025-05-05 04:45:07,,3505,70.1
8030687,data,+20122314157,apn5.internet,2025-05-23 14:46:09,,3646,72.92
5636079,data,+20108625938,apn5.internet,2025-05-14 03:11:46,,2547,50.94
6060589,data,+20113312590,apn2.internet,2025-05-25 01:59:20,,2111,42.22
1504694,data,+20121341394,apn4.internet,2025-05-17 15:14:32,,3892,77.84
3746223,sms,+20107993898,+20114137680,2025-05-29 02:44:22,,,0.21
1271629,voice,+20107267008,+20116026110,2025-05-26 07:40:21,171,,8.55
9742879,data,+20127106367,apn1.internet,2025-05-24 11:52:15,,2254,45.08
6009436,data,+20103183236,apn1.internet,2025-05-10 18:22:32,,3145,62.9
2052891,sms,+20119601950,+20104887685,2025-05-18 22:29:48,,,0.3
8816846,sms,+20104853691,+20123427263,2025-05-05 22:56:32,,,0.3
3622551,voice,+20113174482,+20107234318,2025-05-17 22:01:13,166,,8.3
7078060,voice,+20128552998,+20121660235,2025-06-01 07:17:18,164,,8.2
5077295,sms,+20122073831,+20118574434,2025-05-25 18:26:53,,,0.1
7893346,data,+20117485763,apn3.internet,2025-05-08 00:50:28,,485,9.7
6911885,voice,+20113865457,+20114650683,2025-05-13 09:54:08,136,,6.8
9614958,sms,+20127773686,+20105856250,2025-05-31 03:26:49,,,0.22
7221788,data,+20128989496,apn2.internet,2025-05-16 13:37:14,,1731,34.62
2847305,voice,+20127184152,+20119265527,2025-05-14 22:06:26,23,,1.15
3979713,data,+20105990840,apn1.internet,2025-05-27 03:13:49,,115,2.3
3589315,voice,+20128052372,+20127459870,2025-05-27 22:52:33,228,,11.4
7997106,voice,+20127462316,+20115995025,2025-05-26 08:03:11,543,,27.15
5995745,sms,+20102924637,+20105591191,2025-05-02 16:18:33,,,0.39
3441827,data,+20125890150,apn1.internet,2025-05-20 12:02:13,,2503,50.06
